GENERATION BEST       MEAN       STD        ENEMY: 8

0          88.999688  8.178409   28.374943 
1          91.673025  15.222505  33.666228 
2          91.673025  36.580760  40.410144 
3          91.673025  55.837427  38.422473 
4          91.673025  63.418213  36.897305 
5          91.673025  61.700208  37.820619 
6          92.252892  68.793379  33.436500 
7          92.252892  71.904973  30.617622 
8          92.252892  71.098505  32.624109 
9          92.252892  72.835698  31.647770 
10         92.252892  77.225011  28.368010 
11         92.252892  88.040159  8.022196  
12         92.252892  87.770793  11.456610 
13         92.252892  86.080776  14.899554 
14         92.252892  88.000451  10.305428 
15         92.252892  87.372534  8.057900  
16         92.252892  88.576148  6.069504  
17         92.252892  86.951851  11.830701 
18         92.252892  89.097145  6.150346  
19         92.252892  88.973816  7.060824  
20         92.252892  87.601491  10.839641 
21         92.252892  89.728577  2.257931  
22         92.252892  87.669667  13.522976 
23         92.252892  89.379913  2.465401  
24         92.252892  88.797795  4.866595  
25         92.252892  88.891605  9.611735  
26         92.252892  88.851894  7.944362  
27         92.252892  88.233017  11.778503 
28         92.758336  89.219484  4.628845  
29         92.758336  89.686977  1.996051  
30         92.758336  89.428295  2.315900  
31         92.758336  88.456138  7.407166  
32         92.758336  89.599263  2.272082  
33         92.758336  88.214346  10.219963 
34         92.758336  88.907151  9.699524  
35         92.758336  89.759436  2.272279  
36         92.758336  89.664924  2.615017  
37         92.758336  88.681376  9.735546  
38         92.758336  89.315791  2.562139  
39         92.758336  89.771328  2.934235  
40         92.758336  89.652220  3.495004  
41         92.758336  89.585390  9.802563  
42         92.758336  90.679344  2.096766  
43         92.758336  90.282931  6.354982  
44         92.758336  90.692077  1.852673  
45         92.758336  90.693333  3.980426  
46         92.758336  89.812647  8.922484  
47         92.758336  89.767526  8.853469  
48         92.758336  91.157904  1.899821  
49         92.758336  91.023764  1.805593

GENERATION BEST       MEAN       STD        ENEMY: 4

0          65.866780  -1.105386  10.127151 
1          65.866780  2.894978   13.314802 
2          83.424135  8.957412   17.210072 
3          83.424135  14.540623  19.728460 
4          83.424135  18.839555  19.925584 
5          83.424135  30.038650  22.732578 
6          86.483285  38.457823  24.807998 
7          86.604277  44.798141  24.947718 
8          86.604277  46.769764  26.334415 
9          86.604277  51.917771  22.906192 
10         86.604277  50.212470  26.463724 
11         86.604277  54.836767  23.374243 
12         86.604277  52.712863  24.168445 
13         86.604277  42.366902  27.956445 
14         87.144277  53.478216  22.727402 
15         87.383285  51.171563  25.885849 
16         87.383285  47.690651  26.818694 
17         87.383285  53.562624  25.535429 
18         87.383285  48.982879  27.378016 
19         87.383285  49.345633  28.154383 
20         87.383285  51.933963  28.273644 
21         87.383285  44.493649  30.299309 
22         87.383285  48.825877  29.793810 
23         87.535586  50.807376  31.742594 
24         87.535586  58.529565  28.487412 
25         87.535586  53.188286  32.481789 
26         87.535586  54.457991  34.359043 
27         87.535586  50.509138  33.852642 
28         87.595586  53.863753  33.700114 
29         87.595586  57.673085  32.122872 
30         87.595586  52.137216  34.061480 
31         87.595586  64.255796  29.883815 
32         87.595586  57.732133  34.113563 
33         87.595586  55.541004  34.204707 
34         87.595586  62.187930  31.543881 
35         87.595586  65.488467  29.674998 
36         87.595586  62.521270  32.431007 
37         87.595586  66.475917  28.423524 
38         87.595586  62.744355  31.072925 
39         87.595586  58.164272  32.594803 
40         87.595586  67.254536  27.866258 
41         87.595586  60.157723  32.124820 
42         87.595586  61.554805  33.182624 
43         87.595586  59.633947  33.382080 
44         87.595586  59.156148  33.240571 
45         87.595586  57.988664  32.796254 
46         87.595586  56.572813  32.565594 
47         87.595586  62.503052  30.661122 
48         87.595586  56.108286  32.116106 
49         87.595586  64.013833  30.013681 GENERATION BEST       MEAN       STD        ENEMY: 7

0          75.282972  5.274089   20.647186 
1          75.347511  13.915777  26.820303 
2          86.511858  33.678498  31.868056 
3          86.511858  44.519538  28.193434 
4          86.511858  55.765232  22.062317 
5          86.511858  57.558233  21.076163 
6          86.511858  56.158515  21.227751 
7          86.511858  59.811998  22.600046 
8          86.511858  63.082685  19.082307 
9          86.511858  63.429161  20.377116 
10         86.912892  65.492545  17.900573 
11         86.912892  69.697998  14.583607 
12         94.089365  67.553696  18.588800 
13         94.089365  70.442923  12.247196 
14         94.089365  68.692827  15.666948 
15         94.089365  72.702578  10.205473 
16         94.089365  72.975573  11.860202 
17         94.089365  71.845212  11.354472 
18         94.089365  72.436785  9.981945  
19         94.089365  75.958414  8.156785  
20         94.089365  76.353792  8.270227  
21         94.089365  76.533611  6.982926  
22         94.089365  74.164708  8.378742  
23         94.089365  75.035263  6.752498  
24         94.089365  73.475041  8.395149  
25         94.089365  75.427157  6.507324  
26         94.089365  76.497257  7.268449  
27         94.089365  74.237322  9.132691  
28         94.089365  75.319753  7.125957  
29         94.089365  75.310414  9.251812  
30         94.089365  76.076610  8.634492  
31         94.089365  76.008014  6.192232  
32         94.089365  76.000939  8.501672  
33         94.089365  75.126316  8.467368  
34         94.089365  76.815571  7.533583  
35         94.089365  76.071129  7.075399  
36         94.089365  75.461191  6.884859  
37         94.089365  76.091519  8.011697  
38         94.089365  74.895219  10.159352 
39         94.089365  74.554192  9.036381  
40         94.089365  75.032372  7.292232  
41         94.089365  75.228601  8.854496  
42         94.089365  76.151482  7.018158  
43         94.089365  75.455916  9.213205  
44         94.089365  75.019581  7.681298  
45         94.089365  76.287642  6.445231  
46         94.089365  76.253010  6.950585  
47         94.089365  74.895702  11.374171 
48         94.089365  74.349499  8.388556  
49         94.089365  75.987777  7.281410  
GENERATION BEST       MEAN       STD        ENEMY: 4

0          76.906780  0.099311   13.010987 
1          76.906780  2.885107   10.697219 
2          76.906780  6.733881   12.456201 
3          76.906780  10.669942  10.630843 
4          76.906780  12.310052  13.150043 
5          76.906780  12.828315  12.746265 
6          86.851591  13.013385  13.689211 
7          86.851591  10.752220  14.425945 
8          86.851591  12.448395  14.055789 
9          86.851591  11.484861  12.031929 
10         86.851591  16.366505  11.718479 
11         86.851591  14.428350  12.216457 
12         86.851591  15.436716  13.051149 
13         86.851591  15.842117  15.677085 
14         86.851591  14.956500  15.574621 
15         86.851591  14.544822  17.335981 
16         86.851591  15.770710  18.376263 
17         86.851591  18.275825  18.591751 
18         86.851591  15.047344  18.139541 
19         86.851591  14.056556  18.648913 
20         86.851591  14.446422  17.262161 
21         86.851591  16.009328  18.497478 
22         86.851591  13.700768  18.047779 
23         86.851591  12.447908  18.106533 
24         86.851591  15.562793  18.062942 
25         86.851591  17.874276  18.117498 
26         86.851591  16.971154  19.556919 
27         86.851591  17.238756  19.352626 
28         86.851591  16.982975  19.809755 
29         86.851591  15.156709  18.864133 
30         86.851591  12.777943  19.222782 
31         86.851591  14.140063  18.724810 
32         86.851591  13.228252  19.213772 
33         86.851591  13.228483  21.130697 
34         86.851591  16.009643  19.127719 
35         86.851591  14.515326  20.215738 
36         86.851591  16.345866  21.101093 
37         86.851591  20.167347  19.817540 
38         86.851591  11.693194  19.362507 
39         86.851591  13.654005  19.981431 
40         86.851591  16.891633  20.657525 
41         86.851591  16.459267  18.581283 
42         86.851591  18.431378  19.586935 
43         86.851591  17.145702  19.368560 
44         86.851591  19.548142  20.231166 
45         86.851591  19.302367  21.223934 
46         86.851591  18.928045  20.710179 
47         86.851591  16.360841  19.382713 
48         86.851591  19.031392  20.316917 
49         86.851591  14.378376  19.028145 
GENERATION BEST       MEAN       STD        ENEMY: 5

0          92.296456  10.103777  28.682247 
1          93.696796  20.708577  35.679427 
GENERATION BEST       MEAN       STD        ENEMY: 4

0          64.825276  1.206730   12.428779 
1          65.866780  5.889110   15.627641 
2          65.866780  10.754278  16.336251 
3          65.866780  21.497630  19.405304 
4          65.866780  26.401155  21.248431 
5          83.123444  33.697993  24.683871 
6          83.123444  38.258458  25.399579 
7          83.123444  40.517481  26.987279 
8          83.307706  36.538188  29.435014 
9          84.287271  45.562132  27.469416 
10         84.350785  42.482029  29.414131 
11         84.350785  42.296996  29.198950 
12         84.856704  48.189705  27.736902 
13         84.856704  46.514331  28.933270 
14         84.856704  49.751238  27.117624 
15         86.604277  43.864803  28.886291 
16         86.604277  50.509494  26.222766 
17         86.604277  51.698164  26.924532 
18         87.277173  48.213528  28.022376 
19         87.277173  42.502333  28.204998 
20         87.277173  46.070799  26.935806 
21         87.277173  45.533852  28.914735 
22         87.277173  45.734075  28.709735 
